Settings, precison
tfidf_false_djp_1,0.793333333
tfidf_false_djks_4,0.793333333
tfidf_true_dkps_2,0.793333333
tfidf_false_dkps_2,0.793333333
tfidf_true_kps_4,0.792222222
tfidf_true_kpws_3,0.792222222
tfidf_true_jkps_4,0.792222222
tfidf_false_kps_4,0.792222222
tfidf_false_kpws_3,0.792222222
tfidf_false_jkps_4,0.792222222
tfidf_no_dkpw_4,0.791111111
tfidf_true_dkps_4,0.791111111
tfidf_true_djkps_4,0.791111111
tfidf_false_dkps_4,0.791111111
tfidf_false_djkps_4,0.791111111
tfidf_no_x_2,0.79
tfidf_no_dkpw_2,0.788888889
tfidf_true_pws_3,0.788888889
tfidf_false_pws_3,0.788888889
tfidf_true_dpws_2,0.788888889
tfidf_false_dpws_2,0.788888889
tfidf_true_jks_2,0.786666667
tfidf_false_jks_2,0.786666667
tfidf_true_djpws_2,0.784444444
tfidf_true_djks_2,0.784444444
tfidf_true_djkpws_2,0.784444444
tfidf_false_djpws_2,0.784444444
tfidf_false_djks_2,0.784444444
tfidf_false_djkpws_2,0.784444444
tfidf_no_p_2,0.783333333
tfidf_no_d_2,0.783333333
tfidf_true_dj_1,0.782222222
tfidf_false_dj_1,0.782222222
tfidf_true_jk_1,0.781111111
tfidf_true_jkp_1,0.781111111
tfidf_false_jk_1,0.781111111
tfidf_false_jkp_1,0.781111111
tfidf_no_k_1,0.781111111
tfidf_no_dp_1,0.78
tfidf_no_dp_2,0.78
tfidf_true_dpws_3,0.778888889
tfidf_false_dpws_3,0.778888889
tfidf_true_dkpws_3,0.777777778
tfidf_false_dkpws_3,0.777777778
tfidf_no_d_1,0.777777778
tfidf_no_x_3,0.776666667
tfidf_true_jps_2,0.776666667
tfidf_false_jps_2,0.776666667
tfidf_no_kp_1,0.775555556
tfidf_no_jkpw_1,0.774444444
tfidf_no_p_3,0.774444444
tfidf_no_kw_1,0.773333333
tfidf_true_djkp_1,0.773333333
tfidf_false_djkp_1,0.773333333
tfidf_true_dkpws_2,0.772222222
tfidf_true_djk_1,0.772222222
tfidf_false_dkpws_2,0.772222222
