fold1, precison,fold2, precison,fold3, precison,fold4, precison,fold5, precison,fold6, precison,fold7, precison,fold8, precison,fold9, precison,fold10, precison
false_djk_3,0.893333333,false_djpw_4,0.898888889,false_w_2,0.884444444,true_kp_3,0.925555556,false_dp_4,0.892222222,false_jpw_4,0.895555556,false_jp_3,0.895555556,false_kpw_4,0.882222222,false_w_4,0.916666667,false_dkw_4,0.905555556
true_jk_3,0.892222222,true_pw_3,0.897777778,false_dk_4,0.884444444,false_k_3,0.925555556,false_dk_3,0.892222222,true_jkpw_4,0.894444444,true_jk_3,0.894444444,true_kw_2,0.881111111,false_pw_4,0.916666667,true_jp_3,0.903333333
false_jk_3,0.892222222,false_pw_3,0.897777778,false_dkp_4,0.884444444,false_kp_3,0.925555556,false_dkp_3,0.892222222,true_djkw_4,0.894444444,true_jkw_4,0.894444444,true_djkw_4,0.881111111,false_dkpw_4,0.916666667,false_jp_3,0.903333333
true_dpw_4,0.891111111,true_kpw_3,0.896666667,true_djw_4,0.883333333,true_djw_3,0.924444444,false_dj_4,0.892222222,false_jkpw_4,0.894444444,true_jkp_3,0.894444444,true_djkpw_4,0.881111111,true_k_3,0.916666667,true_kpw_4,0.902222222
true_djpw_4,0.891111111,true_jkw_4,0.896666667,false_djw_4,0.883333333,false_djw_3,0.924444444,false_djp_4,0.892222222,false_djkw_4,0.894444444,false_jk_3,0.894444444,false_kw_2,0.881111111,true_kp_3,0.916666667,true_dw_4,0.902222222
false_dpw_4,0.891111111,true_jkpw_4,0.896666667,true_jpw_4,0.883333333,true_p_3,0.924444444,true_pw_4,0.89,true_k_4,0.893333333,false_jkw_4,0.894444444,false_djkw_4,0.881111111,false_k_3,0.916666667,true_djp_3,0.902222222
false_djpw_4,0.891111111,true_dkw_4,0.896666667,true_djkp_4,0.883333333,true_dp_3,0.924444444,true_kw_2,0.89,true_jw_4,0.893333333,false_jkp_3,0.894444444,false_djkpw_4,0.881111111,false_kp_3,0.916666667,false_kpw_4,0.902222222
true_j_3,0.891111111,true_dkpw_4,0.896666667,false_jpw_4,0.883333333,false_p_3,0.924444444,true_kpw_4,0.89,true_dkpw_4,0.893333333,true_dp_3,0.894444444,true_jkp_4,0.881111111,true_kpw_4,0.915555556,false_dw_4,0.902222222
true_dj_3,0.891111111,true_djw_4,0.896666667,false_djkp_4,0.883333333,false_dp_3,0.924444444,true_dkw_3,0.89,false_k_4,0.893333333,true_djk_4,0.894444444,true_djkp_4,0.881111111,true_dw_4,0.915555556,false_djp_3,0.902222222
false_j_3,0.891111111,true_djkw_4,0.896666667,true_kw_2,0.881111111,true_w_3,0.923333333,true_djw_3,0.89,false_jw_4,0.893333333,false_dp_3,0.894444444,false_jkp_4,0.881111111,true_dpw_4,0.915555556,true_j_3,0.901111111
