Settings, precisonMar 27, 2016 9:28:35 PM org.elasticsearch.plugins.PluginsService <init>
INFO: [Maxam] loaded [], sites []
tfidf_true_jkws_1,0.6633333333333333
tfidf_true_jkws_2,0.7922222222222222
tfidf_true_jkws_3,0.8055555555555559
tfidf_true_jkws_4,0.8166666666666673
tfidf_true_jkp_1,0.7788888888888889
tfidf_true_jkp_2,0.8666666666666661
tfidf_true_jkp_3,0.892222222222222
tfidf_true_jkp_4,0.8944444444444439
tfidf_true_jkps_1,0.6966666666666664
tfidf_true_jkps_2,0.7622222222222218
tfidf_true_jkps_3,0.7777777777777775
tfidf_true_jkps_4,0.7766666666666666
tfidf_true_jkpw_1,0.8644444444444442
tfidf_true_jkpw_2,0.8877777777777781
tfidf_true_jkpw_3,0.8944444444444449
tfidf_true_jkpw_4,0.8966666666666673
tfidf_true_jkpws_1,0.6966666666666668
tfidf_true_jkpws_2,0.7800000000000001
tfidf_true_jkpws_3,0.7988888888888891
tfidf_true_jkpws_4,0.8211111111111117
tfidf_true_d_1,0.7999999999999998
tfidf_true_d_2,0.8788888888888887
tfidf_true_d_3,0.9111111111111104
tfidf_true_d_4,0.9011111111111109
tfidf_true_ds_1,0.703333333333333
tfidf_true_ds_2,0.7888888888888884
tfidf_true_ds_3,0.7999999999999995
tfidf_true_ds_4,0.792222222222222
tfidf_true_dw_1,0.832222222222222
tfidf_true_dw_2,0.8811111111111114
tfidf_true_dw_3,0.8800000000000006
tfidf_true_dw_4,0.9033333333333341
tfidf_true_dws_1,0.6733333333333336
tfidf_true_dws_2,0.7833333333333333
tfidf_true_dws_3,0.7755555555555559
tfidf_true_dws_4,0.7911111111111118
tfidf_true_dp_1,0.7999999999999998
tfidf_true_dp_2,0.8744444444444441
tfidf_true_dp_3,0.9111111111111104
tfidf_true_dp_4,0.9011111111111109
tfidf_true_dps_1,0.703333333333333
tfidf_true_dps_2,0.7855555555555551
tfidf_true_dps_3,0.7999999999999995
tfidf_true_dps_4,0.7855555555555555
tfidf_true_dpw_1,0.8477777777777776
tfidf_true_dpw_2,0.8855555555555555
tfidf_true_dpw_3,0.8933333333333339
tfidf_true_dpw_4,0.9033333333333341
tfidf_true_dpws_1,0.6900000000000001
tfidf_true_dpws_2,0.7633333333333334
tfidf_true_dpws_3,0.7633333333333336
tfidf_true_dpws_4,0.7955555555555561
tfidf_true_dk_1,0.7944444444444443
tfidf_true_dk_2,0.8722222222222219
tfidf_true_dk_3,0.9144444444444441
tfidf_true_dk_4,0.8944444444444439
tfidf_true_dks_1,0.7055555555555553
tfidf_true_dks_2,0.7833333333333329
tfidf_true_dks_3,0.7944444444444442
tfidf_true_dks_4,0.7755555555555553
tfidf_true_dkw_1,0.8077777777777779
tfidf_true_dkw_2,0.9011111111111112
tfidf_true_dkw_3,0.8811111111111118
tfidf_true_dkw_4,0.8966666666666673
tfidf_true_dkws_1,0.6666666666666666
tfidf_true_dkws_2,0.7844444444444441
tfidf_true_dkws_3,0.7766666666666671
tfidf_true_dkws_4,0.7955555555555561
tfidf_true_dkp_1,0.7944444444444443
tfidf_true_dkp_2,0.8699999999999997
tfidf_true_dkp_3,0.9099999999999996
tfidf_true_dkp_4,0.8944444444444439
tfidf_true_dkps_1,0.7055555555555553
tfidf_true_dkps_2,0.7822222222222218
tfidf_true_dkps_3,0.7911111111111109
tfidf_true_dkps_4,0.7711111111111109
tfidf_true_dkpw_1,0.816666666666667
