>>>1<<<,>>>15<<<,,,
17,25,,,
6,11,,,
38,15,,,
85,12,,,
10,1,,,
1,49,,,
1,15,,,
17,6,,,
48,2,,,
1,94,,,
1,8,,,
58,5,,,
2,2,,,
3,28,,,
5,1,,,
9,13,,,
1,3,,,
1,3,,,
1,3,,,
36,27,,,
17,8,,,
3,10,,,
1,8,,,
4,1,,,
19,4,,,
15,3,,,
71,15,,,
4,78,,,
1,19,,,
10,1,,,
1,15,,,
8,1,,,
11,2,,,
15,3,,,
29,1,,,
65,2,,,
22,8,,,
21,7,,,
43,23,,,
2,6,,,
1,7,,,
10,1,,,
2,4,,,
1,1,,,
5,49,,,
6,16,,,
1,2,,,
18,28,,,
33,2,,,
29,16,,,
3,19,,,
2,31,,,
20,40,,,
1,7,,,
55,2,,,
32,46,,,
3,21,,,
1,15,,,
9,8,,,
10,1,,,
5,10,,,
1,4,,,
81,16,,,
1,8,,,
46,26,,,
5,2,,,
15,45,,,
15,22,,,
3,5,,,
3,24,,,
5,19,,,
7,2,,,
17,74,,,
1,13,,,
9,4,,,
44,27,,,
7,57,,,
95,2,,,
12,2,,,
60,4,,,
33,2,,,
50,4,,,
63,10,,,
3,30,,,
22,1,,,
23,2,,,
5,1,,,
55,3,,,
2,39,,,
1,58,,,
48,20,,,
12,19,,,
1,1,,,
6,3,,,
4,3,,,
10,14,,,
38,7,,,
63,7,,,
2,1,,,
11,1,,,
5,6,,,
8,10,,,
18,41,,,
30,1,,,
12,95,,,
16,1,,,
29,17,,,
6,4,,,
17,3,,,
51,100,,,
3,2,,,
1,25,,,
1,35,,,
1,1,,,
16,1,,,
47,1,,,
46,1,,,
22,5,,,
23,1,,,
4,1,,,
3,49,,,
94,3,,,
30,14,,,
16,1,,,
57,55,,,
2,15,,,
57,19,,,
4,3,,,
11,1,,,
5,28,,,
52,15,,,
9,7,,,
8,1,,,
7,43,,,
98,14,,,
2,64,,,
8,25,,,
19,15,,,
21,16,,,
6,1,,,
56,28,,,
47,1,,,
36,1,,,
19,1,,,
87,16,,,
12,1,,,
60,52,,,
14,35,,,
62,14,,,
1,7,,,
5,1,,,
22,58,,,
15,1,,,
20,6,,,
54,1,,,
2,2,,,
21,21,,,
1,6,,,
1,4,,,
15,5,,,
5,15,,,
4,7,,,
6,1,,,
32,1,,,
31,1,,,
1,1,,,
15,43,,,
2,35,,,
2,3,,,
51,1,,,
2,13,,,
46,1,,,
8,52,,,
17,49,,,
7,1,,,
10,25,,,
50,4,,,
20,31,,,
2,23,,,
72,31,,,
59,26,,,
1,4,,,
5,1,,,
1,13,,,
1,1,,,
9,22,,,
4,67,,,
12,13,,,
3,6,,,
44,4,,,
37,1,,,
11,7,,,
16,34,,,
33,1,,,
3,27,,,
6,13,,,
64,3,,,
5,28,,,
2,10,,,
6,14,,,
29,1,,,
100,1,,,
2,42,,,
31,8,,,
55,2,,,
10,1,,,
9,7,,,
4,1,,,
40,26,,,
17,5,,,
23,6,,,
1,46,,,
1,11,,,
58,1,,,
2,49,,,
48,1,,,
9,1,,,
5,1,,,
47,1,,,
4,5,,,
10,1,,,
35,16,,,
36,11,,,
7,10,,,
45,18,,,
27,21,,,
20,67,,,
1,2,,,
31,2,,,
1,7,,,
1,11,,,
9,2,,,
1,46,,,
5,16,,,
58,51,,,
1,2,,,
1,7,,,
1,10,,,
24,47,,,
14,31,,,
32,2,,,
3,11,,,
5,1,,,
60,7,,,
29,19,,,
19,3,,,
45,12,,,
0.209349835,2,0,1283,0
,22,,,
,19,,,
,61,,,
,3,,,
,1,,,
,2,,,
,6,,,
,2,,,
,55,,,
,44,,,
,11,,,
,10,,,
,40,,,
,13,,,
,4,,,
,1,,,
,22,,,
,11,,,
,20,,,
,11,,,
,10,,,
,3,,,
,1,,,
,15,,,
,15,,,
,5,,,
,1,,,
,16,,,
,14,,,
,1,,,
,2,,,
,1,,,
,43,,,
,5,,,
,1,,,
,1,,,
,1,,,
,15,,,
,1,,,
,49,,,
,4,,,
,10,,,
,1,,,
,20,,,
,28,,,
,22,,,
,9,,,
,1,,,
,13,,,
,13,,,
,2,,,
,1,,,
,25,,,
,1,,,
,34,,,
,3,,,
,3,,,
,1,,,
,45,,,
,8,,,
,46,,,
,15,,,
,1,,,
,6,,,
,38,,,
,15,,,
,12,,,
,2,,,
,1,,,
,11,,,
,24,,,
,5,,,
,4,,,
,28,,,
,100,,,
,5,,,
,10,,,
,9,,,
,2,,,
,49,,,
,24,,,
,1,,,
,1,,,
,1,,,
,4,,,
,7,,,
,25,,,
,5,,,
,2,,,
,10,,,
,10,,,
,7,,,
,1,,,
,19,,,
,4,,,
,2,,,
,19,,,
,1,,,
,29,,,
,1,,,
,15,,,
,9,,,
,10,,,
,1,,,
,5,,,
,8,,,
,1,,,
,1,,,
,15,,,
,24,,,
,40,,,
,14,,,
,1,,,
,2,,,
,11,,,
,1,,,
,19,,,
,17,,,
,0.318741816,,,
